id,name,rawBodyPart,rawEquipment,rawTarget,rawMuscleMetadata,rawSecondaryMuscles,currentCategory,currentPrimaryMuscle,currentSecondaryMuscles,currentLoadMechanism,currentLoadMode,currentBodyweightFactor,currentPlateBaseKind,inferredMovementFamily,inferredComplexity,inferredMachineResistanceClass,highestSeverity,flags,v2TargetKind,v2TargetResolved,v2TargetRegion,v2SecondaryResolved
ex-2333,Arm slingers hanging straight legs,waist,body weight,abs,shoulders,shoulders; back,bodyweight,core,,bodyweight,added_weight,,none,core,unknown,none_expected,medium,CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,anatomical,rectus_abdominis,core,shoulders; back
ex-3214,Arms apart circular toe touch (male),upper legs,body weight,glutes,hamstrings,hamstrings; quadriceps; calves,bodyweight,glutes,hamstrings; core; calves,bodyweight,added_weight,,none,other,unknown,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,regional,glutes,glutes,hamstrings; quadriceps; lower_legs
ex-3204,Arms overhead full sit-up (male),waist,body weight,abs,hip flexors,hip flexors; lower back,bodyweight,core,,bodyweight,added_weight,,none,core,unknown,none_expected,medium,CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,hip_flexors; lower_back
ex-0009,Assisted chest dip (kneeling),chest,leverage machine,pectorals,triceps,triceps; shoulders,machine,chest,triceps; core,bodyweight,assisted,1,none,elbow_extension,compound,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,anatomical,pectoralis_major,chest,triceps_brachii; shoulders
ex-0011,Assisted hanging knee raise,waist,assisted,abs,hip flexors,hip flexors,bodyweight,core,,bodyweight,added_weight,,none,core,isolation,none_expected,medium,CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,hip_flexors
ex-0010,Assisted hanging knee raise with throw down,waist,assisted,abs,hip flexors,hip flexors; lower back,bodyweight,core,,bodyweight,added_weight,,none,core,isolation,none_expected,medium,CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,hip_flexors; lower_back
ex-1708,Assisted lying calves stretch,lower legs,assisted,calves,hamstrings,hamstrings,bodyweight,calves,hamstrings,bodyweight,added_weight,,none,calf_raise,isolation,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,regional,lower_legs,lower_legs,hamstrings
ex-1709,Assisted lying glutes stretch,upper legs,assisted,glutes,hamstrings,hamstrings,bodyweight,glutes,hamstrings,bodyweight,added_weight,,none,other,unknown,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,regional,glutes,glutes,hamstrings
ex-1710,Assisted lying gluteus and piriformis stretch,upper legs,assisted,glutes,hamstrings,hamstrings,bodyweight,glutes,hamstrings,bodyweight,added_weight,,none,other,unknown,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,regional,glutes,glutes,hamstrings
ex-0012,Assisted lying leg raise with lateral throw down,waist,assisted,abs,hip flexors,hip flexors; obliques,bodyweight,core,,bodyweight,added_weight,,none,core,isolation,none_expected,medium,CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,hip_flexors; obliques
ex-0013,Assisted lying leg raise with throw down,waist,assisted,abs,hip flexors,hip flexors; quadriceps,bodyweight,core,,bodyweight,added_weight,,none,core,isolation,none_expected,medium,CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,hip_flexors; quadriceps
ex-0014,Assisted motion russian twist,waist,medicine ball,abs,obliques,obliques; lower back,other,core,,bodyweight,added_weight,,none,core,unknown,none_expected,medium,UNMAPPED_EQUIPMENT; CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,obliques; lower_back
ex-0015,Assisted parallel close grip pull-up,back,leverage machine,lats,biceps,biceps; forearms,machine,back,biceps; forearms,bodyweight,assisted,1,none,pull_up,compound,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,anatomical,latissimus_dorsi,back,biceps_brachii; forearms
ex-0016,Assisted prone hamstring,upper legs,assisted,hamstrings,glutes,glutes; lower back,bodyweight,hamstrings,glutes; core,bodyweight,added_weight,,none,other,unknown,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,anatomical,hamstrings,upper_legs,glutes; lower_back
ex-1713,Assisted prone lying quads stretch,upper legs,assisted,quads,hamstrings,hamstrings; glutes,bodyweight,quadriceps,hamstrings; glutes,bodyweight,added_weight,,none,other,unknown,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,anatomical,quadriceps,upper_legs,hamstrings; glutes
ex-1714,Assisted prone rectus femoris stretch,waist,assisted,abs,quadriceps,quadriceps,bodyweight,core,,bodyweight,added_weight,,none,core,unknown,none_expected,medium,CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,anatomical,rectus_abdominis,core,quadriceps
ex-0017,Assisted pull-up,back,leverage machine,lats,biceps,biceps; forearms,machine,back,biceps; forearms,bodyweight,assisted,1,none,pull_up,compound,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,anatomical,latissimus_dorsi,back,biceps_brachii; forearms
ex-1716,Assisted seated pectoralis major stretch with stability ball,chest,assisted,pectorals,shoulders,shoulders; triceps,bodyweight,chest,core; triceps,bodyweight,added_weight,,none,other,unknown,none_expected,medium,RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,anatomical,pectoralis_major,chest,shoulders; triceps_brachii
ex-1712,Assisted side lying adductor stretch,upper legs,assisted,adductors,hamstrings,hamstrings; glutes,bodyweight,quadriceps,hamstrings; glutes,bodyweight,added_weight,,none,other,unknown,none_expected,high,UNMAPPED_TARGET; RAW_MG_DIFFERS_FROM_TARGET,anatomical,adductors,upper_legs,hamstrings; glutes
ex-1758,Assisted sit-up,waist,assisted,abs,hip flexors,hip flexors,bodyweight,core,,bodyweight,added_weight,,none,core,unknown,none_expected,medium,CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,hip_flexors
ex-1431,Assisted standing chin-up,back,leverage machine,lats,biceps,biceps; forearms,machine,back,biceps; forearms,bodyweight,assisted,1,none,chin_up,compound,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,anatomical,latissimus_dorsi,back,biceps_brachii; forearms
ex-1432,Assisted standing pull-up,back,leverage machine,lats,biceps,biceps; forearms,machine,back,biceps; forearms,bodyweight,assisted,1,none,pull_up,compound,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,anatomical,latissimus_dorsi,back,biceps_brachii; forearms
ex-0018,Assisted standing triceps extension (with towel),upper arms,assisted,triceps,shoulders,shoulders,bodyweight,triceps,core,bodyweight,added_weight,,none,elbow_extension,isolation,none_expected,medium,RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,anatomical,triceps_brachii,arms,shoulders
ex-0019,Assisted triceps dip (kneeling),upper arms,leverage machine,triceps,chest,chest; shoulders,machine,triceps,core,bodyweight,assisted,1,none,elbow_extension,compound,none_expected,medium,COMPOUND_SINGLE_MUSCLE_METADATA; RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,anatomical,triceps_brachii,arms,chest; shoulders
ex-2364,Assisted wide-grip chest dip (kneeling),chest,leverage machine,pectorals,triceps,triceps; shoulders,machine,chest,triceps; core,bodyweight,assisted,1,none,elbow_extension,compound,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,anatomical,pectoralis_major,chest,triceps_brachii; shoulders
ex-3220,Astride jumps (male),cardio,body weight,cardiovascular system,quadriceps,quadriceps; hamstrings; calves,bodyweight,core,hamstrings; calves,bodyweight,added_weight,,none,other,unknown,none_expected,high,UNMAPPED_TARGET; TARGET_FALLBACK_TO_CORE; CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,unknown,,,quadriceps; hamstrings; lower_legs
ex-3672,Back and forth step,cardio,body weight,cardiovascular system,quadriceps,quadriceps; hamstrings; glutes; calves,bodyweight,core,hamstrings; glutes; calves,bodyweight,added_weight,,none,other,unknown,none_expected,high,UNMAPPED_TARGET; TARGET_FALLBACK_TO_CORE; CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,unknown,,,quadriceps; hamstrings; glutes; lower_legs
ex-1314,Back extension on exercise ball,back,stability ball,spine,glutes,glutes; hamstrings,other,back,glutes; hamstrings,other,total,,none,elbow_extension,isolation,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,back,back,glutes; hamstrings
ex-3297,Back lever,back,body weight,upper back,biceps,biceps; forearms; core,bodyweight,back,biceps; forearms; core,bodyweight,added_weight,,none,other,unknown,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,regional,back,back,biceps_brachii; forearms; core
ex-1405,Back pec stretch,back,body weight,lats,shoulders,shoulders; chest,bodyweight,back,core,bodyweight,added_weight,,none,other,unknown,none_expected,medium,RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,anatomical,latissimus_dorsi,back,shoulders; chest
ex-1473,Backward jump,upper legs,body weight,quads,hamstrings,hamstrings; glutes; calves,bodyweight,quadriceps,hamstrings; glutes; calves,bodyweight,added_weight,,none,other,unknown,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,anatomical,quadriceps,upper_legs,hamstrings; glutes; lower_legs
ex-0020,Balance board,upper legs,body weight,quads,calves,calves; hamstrings; glutes,bodyweight,quadriceps,calves; hamstrings; glutes,bodyweight,added_weight,,none,other,unknown,none_expected,none,RAW_MG_DIFFERS_FROM_TARGET,anatomical,quadriceps,upper_legs,lower_legs; hamstrings; glutes
ex-0968,Band alternating biceps curl,upper arms,band,biceps,forearms,forearms,other,biceps,forearms,other,total,,none,elbow_flexion,isolation,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,anatomical,biceps_brachii,arms,forearms
ex-0969,Band alternating v-up,waist,band,abs,hip flexors,hip flexors,other,core,,other,total,,none,core,unknown,none_expected,medium,UNMAPPED_EQUIPMENT; CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,hip_flexors
ex-0970,Band assisted pull-up,back,band,lats,biceps,biceps; forearms,other,back,biceps; forearms,bodyweight,assisted,1,none,pull_up,compound,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,anatomical,latissimus_dorsi,back,biceps_brachii; forearms
ex-0971,Band assisted wheel rollerout,waist,band,abs,lower back,lower back,other,core,,bodyweight,added_weight,,none,core,unknown,none_expected,medium,UNMAPPED_EQUIPMENT; CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,anatomical,rectus_abdominis,core,lower_back
ex-1254,Band bench press,chest,band,pectorals,triceps,triceps; shoulders,other,chest,triceps; core,other,total,,none,bench_press,compound,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,anatomical,pectoralis_major,chest,triceps_brachii; shoulders
ex-0980,Band bent-over hip extension,upper legs,band,glutes,hamstrings,hamstrings; lower back,other,glutes,hamstrings; core,other,total,,none,elbow_extension,isolation,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,glutes,glutes,hamstrings; lower_back
ex-0972,Band bicycle crunch,waist,band,abs,hip flexors,hip flexors; obliques,other,core,,other,total,,none,core,unknown,none_expected,medium,UNMAPPED_EQUIPMENT; CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,hip_flexors; obliques
ex-0974,Band close-grip pulldown,back,band,lats,biceps,biceps; forearms,other,back,biceps; forearms,other,total,,none,pulldown,compound,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,anatomical,latissimus_dorsi,back,biceps_brachii; forearms
ex-0975,Band close-grip push-up,upper arms,band,triceps,chest,chest; shoulders,other,triceps,core,other,total,,none,bench_press,compound,none_expected,medium,UNMAPPED_EQUIPMENT; COMPOUND_SINGLE_MUSCLE_METADATA; RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,anatomical,triceps_brachii,arms,chest; shoulders
ex-0976,Band concentration curl,upper arms,band,biceps,forearms,forearms,other,biceps,forearms,other,total,,none,elbow_flexion,isolation,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,anatomical,biceps_brachii,arms,forearms
ex-3117,Band fixed back close grip pulldown,back,band,lats,biceps,biceps; forearms,other,back,biceps; forearms,other,total,,none,pulldown,compound,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,anatomical,latissimus_dorsi,back,biceps_brachii; forearms
ex-3116,Band fixed back underhand pulldown,back,band,lats,biceps,biceps; rhomboids; rear deltoids,other,back,biceps; core,other,total,,none,pulldown,compound,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,anatomical,latissimus_dorsi,back,biceps_brachii; rhomboids; posterior_deltoid
ex-0977,Band front lateral raise,shoulders,band,delts,traps,traps; upper back,other,shoulders,core; back,other,total,,none,lateral_raise,isolation,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,shoulders,shoulders,trapezius; back
ex-0978,Band front raise,shoulders,band,delts,triceps,triceps; upper back,other,shoulders,triceps; back,other,total,,none,front_raise,isolation,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,shoulders,shoulders,triceps_brachii; back
ex-1408,Band hip lift,upper legs,band,glutes,hamstrings,hamstrings; quadriceps,other,glutes,hamstrings; core,other,total,,none,other,unknown,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,glutes,glutes,hamstrings; quadriceps
ex-0979,Band horizontal pallof press,waist,band,abs,obliques,obliques; glutes,other,core,glutes,other,total,,none,core,unknown,none_expected,medium,UNMAPPED_EQUIPMENT; CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,obliques; glutes
ex-0981,Band jack knife sit-up,waist,band,abs,hip flexors,hip flexors,other,core,,other,total,,none,core,unknown,none_expected,medium,UNMAPPED_EQUIPMENT; CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,hip_flexors
ex-0983,Band kneeling one arm pulldown,back,band,lats,biceps,biceps; rhomboids,other,back,biceps; core,other,total,,none,pulldown,compound,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,anatomical,latissimus_dorsi,back,biceps_brachii; rhomboids
ex-0985,Band kneeling twisting crunch,waist,band,abs,obliques,obliques,other,core,,other,total,,none,core,unknown,none_expected,medium,UNMAPPED_EQUIPMENT; CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,obliques
ex-0984,Band lying hip internal rotation,upper legs,band,glutes,hamstrings,hamstrings; quadriceps,other,glutes,hamstrings; core,other,total,,none,other,unknown,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,glutes,glutes,hamstrings; quadriceps
ex-1002,Band lying straight leg raise,waist,band,abs,hip flexors,hip flexors,other,core,,other,total,,none,core,isolation,none_expected,medium,UNMAPPED_EQUIPMENT; CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,hip_flexors
ex-0986,Band one arm overhead biceps curl,upper arms,band,biceps,forearms,forearms; shoulders,other,biceps,forearms; core,other,total,,none,elbow_flexion,isolation,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,anatomical,biceps_brachii,arms,forearms; shoulders
ex-0987,Band one arm single leg split squat,upper legs,band,quads,glutes,glutes; hamstrings,other,quadriceps,glutes; hamstrings,other,total,,none,split_squat,compound,none_expected,low,UNMAPPED_EQUIPMENT; LOWER_BODY_COMPOUND_PRIMARY_QUADRICEPS_ONLY; RAW_MG_DIFFERS_FROM_TARGET,anatomical,quadriceps,upper_legs,glutes; hamstrings
ex-0988,Band one arm standing low row,back,band,upper back,biceps,biceps; shoulders,other,back,biceps; core,other,total,,none,row,compound,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,back,back,biceps_brachii; shoulders
ex-0989,Band one arm twisting chest press,chest,band,pectorals,shoulders,shoulders; triceps,other,chest,core; triceps,other,total,,none,bench_press,compound,none_expected,medium,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,anatomical,pectoralis_major,chest,shoulders; triceps_brachii
ex-0990,Band one arm twisting seated row,back,band,upper back,biceps,biceps; shoulders,other,back,biceps; core,other,total,,none,row,compound,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,back,back,biceps_brachii; shoulders
ex-0991,Band pull through,upper legs,band,glutes,hamstrings,hamstrings; lower back,other,glutes,hamstrings; core,other,total,,none,other,unknown,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,glutes,glutes,hamstrings; lower_back
ex-0992,Band push sit-up,waist,band,abs,shoulders,shoulders; chest,other,core,,other,total,,none,core,unknown,none_expected,medium,UNMAPPED_EQUIPMENT; CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,anatomical,rectus_abdominis,core,shoulders; chest
ex-0993,Band reverse fly,shoulders,band,delts,upper back,upper back; trapezius,other,shoulders,back; core,other,total,,none,rear_delt,isolation,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,shoulders,shoulders,back; trapezius
ex-0994,Band reverse wrist curl,lower arms,band,forearms,forearms,forearms,other,forearms,,other,total,,none,elbow_flexion,isolation,none_expected,medium,UNMAPPED_EQUIPMENT; RAW_SECONDARY_DUPLICATES_TARGET,regional,forearms,forearms,forearms
ex-0996,Band seated hip internal rotation,upper legs,band,glutes,hamstrings,hamstrings; quadriceps,other,glutes,hamstrings; core,other,total,,none,other,unknown,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,glutes,glutes,hamstrings; quadriceps
ex-1011,Band seated twist,waist,band,abs,obliques,obliques,other,core,,other,total,,none,core,unknown,none_expected,medium,UNMAPPED_EQUIPMENT; CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,obliques
ex-0997,Band shoulder press,shoulders,band,delts,triceps,triceps; upper back,other,shoulders,triceps; back,other,total,,none,vertical_press,compound,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,shoulders,shoulders,triceps_brachii; back
ex-1018,Band shrug,back,band,traps,shoulders,shoulders,other,back,core,other,total,,none,other,isolation,none_expected,high,UNMAPPED_EQUIPMENT; UNMAPPED_TARGET; RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,anatomical,trapezius,back,shoulders
ex-0998,Band side triceps extension,upper arms,band,triceps,shoulders,shoulders,other,triceps,core,other,total,,none,elbow_extension,isolation,none_expected,medium,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,anatomical,triceps_brachii,arms,shoulders
ex-0999,Band single leg calf raise,lower legs,band,calves,ankles,ankles; feet,other,calves,core,other,total,,none,calf_raise,isolation,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,lower_legs,lower_legs,lower_legs; lower_legs
ex-1000,Band single leg reverse calf raise,lower legs,band,calves,hamstrings,hamstrings; glutes,other,calves,hamstrings; glutes,other,total,,none,calf_raise,isolation,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,lower_legs,lower_legs,hamstrings; glutes
ex-1001,Band single leg split squat,upper legs,band,quads,glutes,glutes; hamstrings,other,quadriceps,glutes; hamstrings,other,total,,none,split_squat,compound,none_expected,low,UNMAPPED_EQUIPMENT; LOWER_BODY_COMPOUND_PRIMARY_QUADRICEPS_ONLY; RAW_MG_DIFFERS_FROM_TARGET,anatomical,quadriceps,upper_legs,glutes; hamstrings
ex-1004,Band squat,upper legs,band,glutes,quadriceps,quadriceps; hamstrings; calves,other,glutes,core; hamstrings; calves,other,total,,none,squat,compound,none_expected,medium,UNMAPPED_EQUIPMENT; LOWER_BODY_COMPOUND_PRIMARY_GLUTES_ONLY; RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,regional,glutes,glutes,quadriceps; hamstrings; lower_legs
ex-1003,Band squat row,upper legs,band,glutes,hamstrings,hamstrings; quadriceps; back,other,glutes,hamstrings; core,other,total,,none,squat,compound,none_expected,low,UNMAPPED_EQUIPMENT; LOWER_BODY_COMPOUND_PRIMARY_GLUTES_ONLY; RAW_MG_DIFFERS_FROM_TARGET,regional,glutes,glutes,hamstrings; quadriceps; back
ex-1005,Band standing crunch,waist,band,abs,obliques,obliques,other,core,,other,total,,none,core,unknown,none_expected,medium,UNMAPPED_EQUIPMENT; CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,obliques
ex-1022,Band standing rear delt row,shoulders,band,delts,trapezius,trapezius; rhomboids; biceps,other,shoulders,core; biceps,other,total,,none,row,compound,none_expected,medium,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,regional,shoulders,shoulders,trapezius; rhomboids; biceps_brachii
ex-1007,Band standing twisting crunch,waist,band,abs,obliques,obliques,other,core,,other,total,,none,core,unknown,none_expected,medium,UNMAPPED_EQUIPMENT; CANONICAL_MUSCLE_COLLAPSE; RAW_MG_DIFFERS_FROM_TARGET,anatomical,rectus_abdominis,core,obliques
ex-1008,Band step-up,upper legs,band,glutes,quadriceps,quadriceps; hamstrings; calves,other,glutes,core; hamstrings; calves,other,total,,none,step_up,compound,none_expected,medium,UNMAPPED_EQUIPMENT; LOWER_BODY_COMPOUND_PRIMARY_GLUTES_ONLY; RAW_MG_DIFFERS_FROM_TARGET; RAW_MG_NOT_REPRESENTED_IN_CANONICAL_MUSCLES,regional,glutes,glutes,quadriceps; hamstrings; lower_legs
ex-1009,Band stiff leg deadlift,upper legs,band,glutes,hamstrings,hamstrings; lower back,other,glutes,hamstrings; core,other,total,,none,romanian_deadlift,compound,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,glutes,glutes,hamstrings; lower_back
ex-1023,Band straight back stiff leg deadlift,upper legs,band,glutes,hamstrings,hamstrings; lower back,other,glutes,hamstrings; core,other,total,,none,romanian_deadlift,compound,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,glutes,glutes,hamstrings; lower_back
ex-1010,Band straight leg deadlift,back,band,spine,hamstrings,hamstrings; glutes,other,back,hamstrings; glutes,other,total,,none,romanian_deadlift,compound,none_expected,low,UNMAPPED_EQUIPMENT; RAW_MG_DIFFERS_FROM_TARGET,regional,back,back,hamstrings; glutes
